Type;Fuel;Segment;Euro Standart;Alpha;Beta;Gamma;Delta;Epsilon;Zita;Hta;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;medium;Euro 6 d;0.00052;-0.06675;3.73321;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;medium;Euro 6 d;0.00052;-0.06675;3.73321;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;medium;Euro 6 d;0.00052;-0.06675;3.73321;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;medium;Euro 6 d;0.00012;-0.0122;0.85559;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;medium;Euro 6 d;0.00012;-0.0122;0.85559;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;medium;Euro 6 d;0.00012;-0.0122;0.85559;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;large;Euro 6 a/b/c;0.00061;-0.07808;4.38428;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;large;Euro 6 a/b/c;0.00061;-0.07808;4.38428;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;large;Euro 6 a/b/c;0.00012;-0.013;1.06342;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;large;Euro 6 a/b/c;0.00012;-0.013;1.06342;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;large;Euro 6 d-temp;0.00061;-0.07808;4.38428;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;large;Euro 6 d-temp;0.00061;-0.07808;4.38428;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;large;Euro 6 d-temp;0.00061;-0.07808;4.38428;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;large;Euro 6 d-temp;0.00012;-0.013;1.06342;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;large;Euro 6 d-temp;0.00012;-0.013;1.06342;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;large;Euro 6 d-temp;0.00012;-0.013;1.06342;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;large;Euro 6 d;0.00061;-0.07808;4.38428;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;large;Euro 6 d;0.00061;-0.07808;4.38428;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;large;Euro 6 d;0.00061;-0.07808;4.38428;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;large;Euro 6 d;0.00012;-0.013;1.06342;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;large;Euro 6 d;0.00012;-0.013;1.06342;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;large;Euro 6 d;0.00012;-0.013;1.06342;0;0;0;1;;;;;;;
passengerCar;Diesel;mini;Euro 4;0.00922;0.11073;18.21292;0;0.00129;0.63134;0.85316;;;;;;;
passengerCar;Diesel;mini;Euro 5;0.00922;0.11073;18.21292;0;0.00129;0.63134;0.85316;;;;;;;
passengerCar;Diesel;mini;Euro 5;0.00922;0.11073;18.21292;0;0.00129;0.63134;0.85316;;;;;;;
passengerCar;Diesel;mini;Euro 6 a/b/c;0.00922;0.11073;18.21292;0;0.00129;0.63134;0.85316;;;;;;;
passengerCar;Diesel;mini;Euro 6 a/b/c;0.00922;0.11073;18.21292;0;0.00129;0.63134;0.85316;;;;;;;
passengerCar;Diesel;mini;Euro 6 a/b/c;0.00922;0.11073;18.21292;0;0.00129;0.63134;0.85316;;;;;;;
passengerCar;Diesel;mini;Euro 6 d-temp;0.00922;0.11073;18.21292;0;0.00129;0.63134;0.85316;;;;;;;
passengerCar;Diesel;mini;Euro 6 d-temp;0.00922;0.11073;18.21292;0;0.00129;0.63134;0.85316;;;;;;;
passengerCar;Diesel;mini;Euro 6 d-temp;0.00922;0.11073;18.21292;0;0.00129;0.63134;0.85316;;;;;;;
passengerCar;Diesel;mini;Euro 6 d;0.00922;0.11073;18.21292;0;0.00129;0.63134;0.85316;;;;;;;
passengerCar;Diesel;mini;Euro 6 d;0.00922;0.11073;18.21292;0;0.00129;0.63134;0.85316;;;;;;;
passengerCar;Diesel;mini;Euro 6 d;0.00922;0.11073;18.21292;0;0.00129;0.63134;0.85316;;;;;;;
passengerCar;Diesel;small;Conventional;0.00914;-1.36078;77.369;0;0;0;15.29368;;;;;;;
passengerCar;Diesel;small;Euro 1;0.00104;-0.02063;15.91296;0;-0.00082;0.1734;2.57655;;;;;;;
passengerCar;Diesel;small;Euro 2;0.00183;-0.09028;19.72648;0;-0.00055;0.16176;3.24818;;;;;;;
passengerCar;Diesel;small;Euro 3;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;small;Euro 4;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;small;Euro 5;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;small;Euro 5;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;small;Euro 6 a/b/c;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;small;Euro 6 a/b/c;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;small;Euro 6 a/b/c;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;small;Euro 6 d-temp;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;small;Euro 6 d-temp;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;small;Euro 6 d-temp;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;small;Euro 6 d;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;small;Euro 6 d;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;small;Euro 6 d;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;medium;Conventional;0.00914;-1.36078;77.369;0;0;0;15.29368;;;;;;;
passengerCar;Diesel;medium;Euro 1;0.00104;-0.02063;15.91296;0;-0.00082;0.1734;2.57655;;;;;;;
passengerCar;Diesel;medium;Euro 2;0.00183;-0.09028;19.72648;0;-0.00055;0.16176;3.24818;;;;;;;
passengerCar;Diesel;medium;Euro 3;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;medium;Euro 4;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;medium;Euro 5;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;medium;Euro 5;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;medium;Euro 6 a/b/c;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;medium;Euro 6 a/b/c;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;medium;Euro 6 a/b/c;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;medium;Euro 6 d-temp;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;medium;Euro 6 d-temp;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;medium;Euro 6 d-temp;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;medium;Euro 6 d;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;medium;Euro 6 d;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;medium;Euro 6 d;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;large;Conventional;0.00914;-1.36078;77.369;0;0;0;15.29368;;;;;;;
passengerCar;Diesel;large;Euro 1;0.0007;0.01317;13.71178;0;-0.00055;0.11848;1.64789;;;;;;;
passengerCar;Diesel;large;Euro 2;0.0007;0.01317;13.71178;0;-0.00055;0.11848;1.64789;;;;;;;
passengerCar;Diesel;large;Euro 3;0.0007;0.01317;13.71178;0;-0.00055;0.11848;1.64789;;;;;;;
passengerCar;Diesel;large;Euro 4;0.0007;0.01317;13.71178;0;-0.00055;0.11848;1.64789;;;;;;;
passengerCar;Diesel;large;Euro 5;0.0007;0.01317;13.71178;0;-0.00055;0.11848;1.64789;;;;;;;
passengerCar;Diesel;large;Euro 5;0.0007;0.01317;13.71178;0;-0.00055;0.11848;1.64789;;;;;;;
passengerCar;Diesel;large;Euro 6 a/b/c;0.0007;0.01317;13.71178;0;-0.00055;0.11848;1.64789;;;;;;;
passengerCar;Diesel;large;Euro 6 a/b/c;0.0007;0.01317;13.71178;0;-0.00055;0.11848;1.64789;;;;;;;
passengerCar;Diesel;large;Euro 6 a/b/c;0.0007;0.01317;13.71178;0;-0.00055;0.11848;1.64789;;;;;;;
passengerCar;Diesel;large;Euro 6 d-temp;0.0007;0.01317;13.71178;0;-0.00055;0.11848;1.64789;;;;;;;
passengerCar;Diesel;large;Euro 6 d-temp;0.0007;0.01317;13.71178;0;-0.00055;0.11848;1.64789;;;;;;;
passengerCar;Diesel;large;Euro 6 d-temp;0.0007;0.01317;13.71178;0;-0.00055;0.11848;1.64789;;;;;;;
passengerCar;Diesel;large;Euro 6 d;0.0007;0.01317;13.71178;0;-0.00055;0.11848;1.64789;;;;;;;
passengerCar;Diesel;large;Euro 6 d;0.0007;0.01317;13.71178;0;-0.00055;0.11848;1.64789;;;;;;;
passengerCar;Diesel;large;Euro 6 d;0.0007;0.01317;13.71178;0;-0.00055;0.11848;1.64789;;;;;;;
passengerCar;Diesel PHEV ~ Diesel;large;Euro 6 a/b/c;0.00058;-0.07461;4.15565;0;0;0;1;;;;;;;
passengerCar;Diesel PHEV ~ Diesel;large;Euro 6 a/b/c;0.00058;-0.07461;4.15565;0;0;0;1;;;;;;;
passengerCar;Diesel PHEV ~ Diesel;large;Euro 6 a/b/c;0.00058;-0.07461;4.15565;0;0;0;1;;;;;;;
passengerCar;Diesel PHEV ~ Electricity;large;Euro 6 a/b/c;0.00013;-0.01437;1.03763;0;0;0;1;;;;;;;
passengerCar;Diesel PHEV ~ Electricity;large;Euro 6 a/b/c;0.00013;-0.01437;1.03763;0;0;0;1;;;;;;;
passengerCar;Diesel PHEV ~ Electricity;large;Euro 6 a/b/c;0.00013;-0.01437;1.03763;0;0;0;1;;;;;;;
passengerCar;Diesel PHEV ~ Diesel;large;Euro 6 d-temp;0.00058;-0.07461;4.15565;0;0;0;1;;;;;;;
passengerCar;Diesel PHEV ~ Diesel;large;Euro 6 d-temp;0.00058;-0.07461;4.15565;0;0;0;1;;;;;;;
passengerCar;Diesel PHEV ~ Diesel;large;Euro 6 d-temp;0.00058;-0.07461;4.15565;0;0;0;1;;;;;;;
passengerCar;Diesel PHEV ~ Electricity;large;Euro 6 d-temp;0.00013;-0.01437;1.03763;0;0;0;1;;;;;;;
passengerCar;Diesel PHEV ~ Electricity;large;Euro 6 d-temp;0.00013;-0.01437;1.03763;0;0;0;1;;;;;;;
passengerCar;Diesel PHEV ~ Electricity;large;Euro 6 d-temp;0.00013;-0.01437;1.03763;0;0;0;1;;;;;;;
passengerCar;Diesel PHEV ~ Diesel;large;Euro 6 d;0.00058;-0.07461;4.15565;0;0;0;1;;;;;;;
passengerCar;Diesel PHEV ~ Diesel;large;Euro 6 d;0.00058;-0.07461;4.15565;0;0;0;1;;;;;;;
passengerCar;Diesel PHEV ~ Diesel;large;Euro 6 d;0.00058;-0.07461;4.15565;0;0;0;1;;;;;;;
passengerCar;Diesel PHEV ~ Electricity;large;Euro 6 d;0.00013;-0.01437;1.03763;0;0;0;1;;;;;;;
passengerCar;Diesel PHEV ~ Electricity;large;Euro 6 d;0.00013;-0.01437;1.03763;0;0;0;1;;;;;;;
passengerCar;Diesel PHEV ~ Electricity;large;Euro 6 d;0.00013;-0.01437;1.03763;0;0;0;1;;;;;;;
passengerCar;LPG Bifuel ~ LPG;mini;Euro 4;0.00266;-0.34183;27.5777;0;0;0;7.9364;;;;;;;
passengerCar;LPG Bifuel ~ Petrol;mini;Euro 4;0.00508;-0.27204;17.91861;0;0.00084;0.09713;3.72131;;;;;;;
passengerCar;LPG Bifuel ~ LPG;mini;Euro 5;0.00266;-0.34183;27.5777;0;0;0;7.9364;;;;;;;
passengerCar;LPG Bifuel ~ Petrol;mini;Euro 5;0.00508;-0.27204;17.91861;0;0.00084;0.09713;3.72131;;;;;;;
passengerCar;LPG Bifuel ~ LPG;mini;Euro 6 a/b/c;0.00266;-0.34183;27.5777;0;0;0;7.9364;;;;;;;
passengerCar;LPG Bifuel ~ Petrol;mini;Euro 6 a/b/c;0.00508;-0.27204;17.91861;0;0.00084;0.09713;3.72131;;;;;;;
passengerCar;LPG Bifuel ~ LPG;mini;Euro 6 d-temp;0.00266;-0.34183;27.5777;0;0;0;7.9364;;;;;;;
passengerCar;LPG Bifuel ~ Petrol;mini;Euro 6 d-temp;0.00508;-0.27204;17.91861;0;0.00084;0.09713;3.72131;;;;;;;
passengerCar;LPG Bifuel ~ LPG;mini;Euro 6 d;0.00266;-0.34183;27.5777;0;0;0;7.9364;;;;;;;
passengerCar;LPG Bifuel ~ Petrol;mini;Euro 6 d;0.00508;-0.27204;17.91861;0;0.00084;0.09713;3.72131;;;;;;;
passengerCar;LPG Bifuel ~ LPG;small;Conventional;0;0;59;0;0;0;21.47582;;;;;;;
passengerCar;LPG Bifuel ~ LPG;small;Conventional;0;0;59;0;0;0;21.47582;;;;;;;
passengerCar;LPG Bifuel ~ LPG;small;Conventional;0;0;45;0;0;0;21.47582;;;;;;;
passengerCar;LPG Bifuel ~ LPG;small;Conventional;0;0;54;0;0;0;21.47582;;;;;;;
passengerCar;LPG Bifuel ~ Petrol;small;Conventional;0.05508;-6.51095;402.75645;0;0;0;107.54897;;;;;;;
passengerCar;LPG Bifuel ~ LPG;small;Euro 1;0.00266;-0.34183;27.5777;0;0;0;7.9364;;;;;;;
passengerCar;LPG Bifuel ~ Petrol;small;Euro 1;0;0.07482;12.19837;0;-0.00106;0.18879;1.46276;;;;;;;
passengerCar;LPG Bifuel ~ LPG;small;Euro 2;0.00266;-0.34183;27.5777;0;0;0;7.9364;;;;;;;
passengerCar;LPG Bifuel ~ Petrol;small;Euro 2;0.00121;-0.04768;17.50022;0;-0.00096;0.2056;1.92644;;;;;;;
passengerCar;LPG Bifuel ~ LPG;small;Euro 3;0.00266;-0.34183;27.5777;0;0;0;7.9364;;;;;;;
passengerCar;LPG Bifuel ~ Petrol;small;Euro 3;0.00048;0.04045;16.39564;0;-0.001;0.20498;2.20886;;;;;;;
passengerCar;LPG Bifuel ~ LPG;small;Euro 4;0.00266;-0.34183;27.5777;0;0;0;7.9364;;;;;;;
passengerCar;LPG Bifuel ~ Petrol;small;Euro 4;0.0048;-0.25333;20.95161;0;0.0008;0.09133;3.51264;;;;;;;
passengerCar;LPG Bifuel ~ LPG;small;Euro 5;0.00266;-0.34183;27.5777;0;0;0;7.9364;;;;;;;
passengerCar;LPG Bifuel ~ Petrol;small;Euro 5;0.0048;-0.25333;20.95161;0;0.0008;0.09133;3.51264;;;;;;;
passengerCar;LPG Bifuel ~ LPG;small;Euro 6 a/b/c;0.00266;-0.34183;27.5777;0;0;0;7.9364;;;;;;;
passengerCar;LPG Bifuel ~ Petrol;small;Euro 6 a/b/c;0.0048;-0.25333;20.95161;0;0.0008;0.09133;3.51264;;;;;;;
passengerCar;LPG Bifuel ~ LPG;small;Euro 6 d-temp;0.00266;-0.34183;27.5777;0;0;0;7.9364;;;;;;;
passengerCar;LPG Bifuel ~ Petrol;small;Euro 6 d-temp;0.0048;-0.25333;20.95161;0;0.0008;0.09133;3.51264;;;;;;;
passengerCar;LPG Bifuel ~ LPG;small;Euro 6 d;0.00266;-0.34183;27.5777;0;0;0;7.9364;;;;;;;
passengerCar;LPG Bifuel ~ Petrol;small;Euro 6 d;0.0048;-0.25333;20.95161;0;0.0008;0.09133;3.51264;;;;;;;
passengerCar;LPG Bifuel ~ LPG;medium;Conventional;0;0;59;0;0;0;21.47582;;;;;;;
passengerCar;LPG Bifuel ~ LPG;medium;Conventional;0;0;59;0;0;0;21.47582;;;;;;;
passengerCar;LPG Bifuel ~ LPG;medium;Conventional;0;0;45;0;0;0;21.47582;;;;;;;
passengerCar;LPG Bifuel ~ LPG;medium;Conventional;0;0;54;0;0;0;21.47582;;;;;;;
passengerCar;LPG Bifuel ~ Petrol;medium;Conventional;0.05317;-6.26615;346.85345;0;0;0;72.29683;;;;;;;
passengerCar;LPG Bifuel ~ LPG;medium;Euro 1;0.00266;-0.34183;27.5777;0;0;0;7.9364;;;;;;;
passengerCar;LPG Bifuel ~ Petrol;medium;Euro 1;0;0.00478;2.75285;0;-0.00017;0.02812;0.31523;;;;;;;
passengerCar;LPG Bifuel ~ LPG;medium;Euro 2;0.00266;-0.34183;27.5777;0;0;0;7.9364;;;;;;;
passengerCar;LPG Bifuel ~ Petrol;medium;Euro 2;0.00004;0.02412;3.0691;0;-0.00018;0.04383;0.20218;;;;;;;
passengerCar;LPG Bifuel ~ LPG;medium;Euro 3;0.00266;-0.34183;27.5777;0;0;0;7.9364;;;;;;;
passengerCar;LPG Bifuel ~ Petrol;medium;Euro 3;0.00012;0.00328;2.80655;0;-0.00012;0.02836;0.29539;;;;;;;
passengerCar;LPG Bifuel ~ LPG;medium;Euro 4;0.00266;-0.34183;27.5777;0;0;0;7.9364;;;;;;;
passengerCar;LPG Bifuel ~ Petrol;medium;Euro 4;0.00013;0.00549;2.6192;0;-0.00009;0.02358;0.3443;;;;;;;
passengerCar;LPG Bifuel ~ LPG;medium;Euro 5;0.00266;-0.34183;27.5777;0;0;0;7.9364;;;;;;;
passengerCar;LPG Bifuel ~ Petrol;medium;Euro 5;0.00013;0.00549;2.6192;0;-0.00009;0.02358;0.3443;;;;;;;
passengerCar;LPG Bifuel ~ LPG;medium;Euro 6 a/b/c;0.00266;-0.34183;27.5777;0;0;0;7.9364;;;;;;;
passengerCar;LPG Bifuel ~ Petrol;medium;Euro 6 a/b/c;0.00013;0.00549;2.6192;0;-0.00009;0.02358;0.3443;;;;;;;
passengerCar;LPG Bifuel ~ LPG;medium;Euro 6 d-temp;0.00266;-0.34183;27.5777;0;0;0;7.9364;;;;;;;
passengerCar;LPG Bifuel ~ Petrol;medium;Euro 6 d-temp;0.00013;0.00549;2.6192;0;-0.00009;0.02358;0.3443;;;;;;;
passengerCar;LPG Bifuel ~ LPG;medium;Euro 6 d;0.00266;-0.34183;27.5777;0;0;0;7.9364;;;;;;;
passengerCar;LPG Bifuel ~ Petrol;medium;Euro 6 d;0.00013;0.00549;2.6192;0;-0.00009;0.02358;0.3443;;;;;;;
passengerCar;LPG Bifuel ~ LPG;large;Conventional;0;0;59;0;0;0;21.47582;;;;;;;
passengerCar;LPG Bifuel ~ LPG;large;Conventional;0;0;59;0;0;0;21.47582;;;;;;;
