Type;Fuel;Segment;Euro Standart;Alpha;Beta;Gamma;Delta;Epsilon;Zita;Hta;;;;;;;
passengerCar;LPG Bifuel ~ LPG;large;Conventional;0;0;45;0;0;0;21.47582;;;;;;;
passengerCar;LPG Bifuel ~ LPG;large;Conventional;0;0;54;0;0;0;21.47582;;;;;;;
passengerCar;LPG Bifuel ~ Petrol;large;Conventional;0.00024;-0.02316;0.75699;16.48208;0.00005;-0.00517;0.32829;;;;;;;
passengerCar;LPG Bifuel ~ LPG;large;Euro 1;0.00266;-0.34183;27.5777;0;0;0;7.9364;;;;;;;
passengerCar;LPG Bifuel ~ Petrol;large;Euro 1;0;-0.00056;3.03219;0;-0.00013;0.0209;0.30111;;;;;;;
passengerCar;LPG Bifuel ~ LPG;large;Euro 2;0.00266;-0.34183;27.5777;0;0;0;7.9364;;;;;;;
passengerCar;LPG Bifuel ~ Petrol;large;Euro 2;0;0.04241;3.42206;0;-0.00018;0.04414;0.05079;;;;;;;
passengerCar;LPG Bifuel ~ LPG;large;Euro 3;0.00266;-0.34183;27.5777;0;0;0;7.9364;;;;;;;
passengerCar;LPG Bifuel ~ Petrol;large;Euro 3;0;0.00542;2.73459;0;-0.00012;0.02225;0.24669;;;;;;;
passengerCar;LPG Bifuel ~ LPG;large;Euro 4;0.00266;-0.34183;27.5777;0;0;0;7.9364;;;;;;;
passengerCar;LPG Bifuel ~ Petrol;large;Euro 4;0;-0.00156;3.24525;0;-0.00011;0.01894;0.2601;;;;;;;
passengerCar;LPG Bifuel ~ LPG;large;Euro 5;0.00266;-0.34183;27.5777;0;0;0;7.9364;;;;;;;
passengerCar;LPG Bifuel ~ Petrol;large;Euro 5;0;-0.00156;3.24525;0;-0.00011;0.01894;0.2601;;;;;;;
passengerCar;LPG Bifuel ~ LPG;large;Euro 6 a/b/c;0.00266;-0.34183;27.5777;0;0;0;7.9364;;;;;;;
passengerCar;LPG Bifuel ~ Petrol;large;Euro 6 a/b/c;0;-0.00156;3.24525;0;-0.00011;0.01894;0.2601;;;;;;;
passengerCar;LPG Bifuel ~ LPG;large;Euro 6 d-temp;0.00266;-0.34183;27.5777;0;0;0;7.9364;;;;;;;
passengerCar;LPG Bifuel ~ Petrol;large;Euro 6 d-temp;0;-0.00156;3.24525;0;-0.00011;0.01894;0.2601;;;;;;;
passengerCar;LPG Bifuel ~ LPG;large;Euro 6 d;0.00266;-0.34183;27.5777;0;0;0;7.9364;;;;;;;
passengerCar;LPG Bifuel ~ Petrol;large;Euro 6 d;0;-0.00156;3.24525;0;-0.00011;0.01894;0.2601;;;;;;;
passengerCar;CNG Bifuel ~ CNG;mini;Euro 4;0.00082;0.03426;16.35648;0;-0.00053;0.14728;2.15009;;;;;;;
passengerCar;CNG Bifuel ~ Petrol;mini;Euro 4;0.00508;-0.27204;17.91861;0;0.00084;0.09713;3.72131;;;;;;;
passengerCar;CNG Bifuel ~ CNG;mini;Euro 5;0.00082;0.03426;16.35648;0;-0.00053;0.14728;2.15009;;;;;;;
passengerCar;CNG Bifuel ~ Petrol;mini;Euro 5;0.00508;-0.27204;17.91861;0;0.00084;0.09713;3.72131;;;;;;;
passengerCar;CNG Bifuel ~ CNG;mini;Euro 6 a/b/c;0.00082;0.03426;16.35648;0;-0.00053;0.14728;2.15009;;;;;;;
passengerCar;CNG Bifuel ~ Petrol;mini;Euro 6 a/b/c;0.00508;-0.27204;17.91861;0;0.00084;0.09713;3.72131;;;;;;;
passengerCar;CNG Bifuel ~ CNG;mini;Euro 6 d-temp;0.00082;0.03426;16.35648;0;-0.00053;0.14728;2.15009;;;;;;;
passengerCar;CNG Bifuel ~ Petrol;mini;Euro 6 d-temp;0.00508;-0.27204;17.91861;0;0.00084;0.09713;3.72131;;;;;;;
passengerCar;CNG Bifuel ~ CNG;mini;Euro 6 d;0.00082;0.03426;16.35648;0;-0.00053;0.14728;2.15009;;;;;;;
passengerCar;CNG Bifuel ~ Petrol;mini;Euro 6 d;0.00508;-0.27204;17.91861;0;0.00084;0.09713;3.72131;;;;;;;
passengerCar;CNG Bifuel ~ CNG;small;Euro 4;0.00082;0.03426;16.35648;0;-0.00053;0.14728;2.15009;;;;;;;
passengerCar;CNG Bifuel ~ Petrol;small;Euro 4;0.0048;-0.25333;20.95161;0;0.0008;0.09133;3.51264;;;;;;;
passengerCar;CNG Bifuel ~ CNG;small;Euro 5;0.00082;0.03426;16.35648;0;-0.00053;0.14728;2.15009;;;;;;;
passengerCar;CNG Bifuel ~ Petrol;small;Euro 5;0.0048;-0.25333;20.95161;0;0.0008;0.09133;3.51264;;;;;;;
passengerCar;CNG Bifuel ~ CNG;small;Euro 6 a/b/c;0.00082;0.03426;16.35648;0;-0.00053;0.14728;2.15009;;;;;;;
passengerCar;CNG Bifuel ~ Petrol;small;Euro 6 a/b/c;0.0048;-0.25333;20.95161;0;0.0008;0.09133;3.51264;;;;;;;
passengerCar;CNG Bifuel ~ CNG;small;Euro 6 d-temp;0.00082;0.03426;16.35648;0;-0.00053;0.14728;2.15009;;;;;;;
passengerCar;CNG Bifuel ~ Petrol;small;Euro 6 d-temp;0.0048;-0.25333;20.95161;0;0.0008;0.09133;3.51264;;;;;;;
passengerCar;CNG Bifuel ~ CNG;small;Euro 6 d;0.00082;0.03426;16.35648;0;-0.00053;0.14728;2.15009;;;;;;;
passengerCar;CNG Bifuel ~ Petrol;small;Euro 6 d;0.0048;-0.25333;20.95161;0;0.0008;0.09133;3.51264;;;;;;;
passengerCar;CNG Bifuel ~ CNG;medium;Euro 4;0.00082;0.03426;16.35648;0;-0.00053;0.14728;2.15009;;;;;;;
passengerCar;CNG Bifuel ~ Petrol;medium;Euro 4;0;-0.00156;3.24525;0;-0.00011;0.01894;0.2601;;;;;;;
passengerCar;CNG Bifuel ~ CNG;medium;Euro 5;0.00082;0.03426;16.35648;0;-0.00053;0.14728;2.15009;;;;;;;
passengerCar;CNG Bifuel ~ Petrol;medium;Euro 5;0;-0.00156;3.24525;0;-0.00011;0.01894;0.2601;;;;;;;
passengerCar;CNG Bifuel ~ CNG;medium;Euro 6 a/b/c;0.00082;0.03426;16.35648;0;-0.00053;0.14728;2.15009;;;;;;;
passengerCar;CNG Bifuel ~ Petrol;medium;Euro 6 a/b/c;0;-0.00156;3.24525;0;-0.00011;0.01894;0.2601;;;;;;;
passengerCar;CNG Bifuel ~ CNG;medium;Euro 6 d-temp;0.00082;0.03426;16.35648;0;-0.00053;0.14728;2.15009;;;;;;;
passengerCar;CNG Bifuel ~ Petrol;medium;Euro 6 d-temp;0;-0.00156;3.24525;0;-0.00011;0.01894;0.2601;;;;;;;
passengerCar;CNG Bifuel ~ CNG;medium;Euro 6 d;0.00082;0.03426;16.35648;0;-0.00053;0.14728;2.15009;;;;;;;
passengerCar;CNG Bifuel ~ Petrol;medium;Euro 6 d;0;-0.00156;3.24525;0;-0.00011;0.01894;0.2601;;;;;;;
passengerCar;CNG Bifuel ~ CNG;large;Euro 4;0.00082;0.03426;16.35648;0;-0.00053;0.14728;2.15009;;;;;;;
passengerCar;CNG Bifuel ~ Petrol;large;Euro 4;0.00508;-0.27204;17.91861;0;0.00084;0.09713;3.72131;;;;;;;
passengerCar;CNG Bifuel ~ CNG;large;Euro 5;0.00082;0.03426;16.35648;0;-0.00053;0.14728;2.15009;;;;;;;
passengerCar;CNG Bifuel ~ Petrol;large;Euro 5;0.00508;-0.27204;17.91861;0;0.00084;0.09713;3.72131;;;;;;;
passengerCar;CNG Bifuel ~ CNG;large;Euro 6 a/b/c;0.00082;0.03426;16.35648;0;-0.00053;0.14728;2.15009;;;;;;;
passengerCar;CNG Bifuel ~ Petrol;large;Euro 6 a/b/c;0.00508;-0.27204;17.91861;0;0.00084;0.09713;3.72131;;;;;;;
passengerCar;CNG Bifuel ~ CNG;large;Euro 6 d-temp;0.00082;0.03426;16.35648;0;-0.00053;0.14728;2.15009;;;;;;;
passengerCar;CNG Bifuel ~ Petrol;large;Euro 6 d-temp;0.00508;-0.27204;17.91861;0;0.00084;0.09713;3.72131;;;;;;;
passengerCar;CNG Bifuel ~ CNG;large;Euro 6 d;0.00082;0.03426;16.35648;0;-0.00053;0.14728;2.15009;;;;;;;
passengerCar;CNG Bifuel ~ Petrol;large;Euro 6 d;0.00508;-0.27204;17.91861;0;0.00084;0.09713;3.72131;;;;;;;
lightCommercial;Petrol;N1-I;Conventional;0.00069;-0.07613;3.01373;45.57647;0.00017;-0.01914;1.24894;;;;;;;
lightCommercial;Petrol;N1-I;Euro 1;0;0.07482;12.19837;0;-0.00106;0.18879;1.46276;;;;;;;
lightCommercial;Petrol;N1-I;Euro 2;0.00121;-0.04768;17.50022;0;-0.00096;0.2056;1.92644;;;;;;;
lightCommercial;Petrol;N1-I;Euro 3;0.00048;0.04045;16.39564;0;-0.001;0.20498;2.20886;;;;;;;
lightCommercial;Petrol;N1-I;Euro 4;0.0048;-0.25333;20.95161;0;0.0008;0.09133;3.51264;;;;;;;
lightCommercial;Petrol;N1-I;Euro 5;0.0048;-0.25333;20.95161;0;0.0008;0.09133;3.51264;;;;;;;
lightCommercial;Petrol;N1-I;Euro 6 a/b/c;0.0048;-0.25333;20.95161;0;0.0008;0.09133;3.51264;;;;;;;
lightCommercial;Petrol;N1-I;Euro 6 a/b/c;0.0048;-0.25333;20.95161;0;0.0008;0.09133;3.51264;;;;;;;
lightCommercial;Petrol;N1-I;Euro 6 d-temp;0.0048;-0.25333;20.95161;0;0.0008;0.09133;3.51264;;;;;;;
lightCommercial;Petrol;N1-I;Euro 6 d-temp;0.0048;-0.25333;20.95161;0;0.0008;0.09133;3.51264;;;;;;;
lightCommercial;Petrol;N1-I;Euro 6 d-temp;0.0048;-0.25333;20.95161;0;0.0008;0.09133;3.51264;;;;;;;
lightCommercial;Petrol;N1-I;Euro 6 d;0.0048;-0.25333;20.95161;0;0.0008;0.09133;3.51264;;;;;;;
lightCommercial;Petrol;N1-I;Euro 6 d;0.0048;-0.25333;20.95161;0;0.0008;0.09133;3.51264;;;;;;;
lightCommercial;Petrol;N1-I;Euro 6 d;0.0048;-0.25333;20.95161;0;0.0008;0.09133;3.51264;;;;;;;
lightCommercial;Petrol;N1-II;Conventional;0.0047;-0.7455;45.45306;0;0;0;6.42906;;;;;;;
lightCommercial;Petrol;N1-II;Euro 1;0.00053;-0.08335;5.09383;0;0;0;0.61618;;;;;;;
lightCommercial;Petrol;N1-II;Euro 2;0.00053;-0.08335;5.09383;0;0;0;0.61618;;;;;;;
lightCommercial;Petrol;N1-II;Euro 3;0.00053;-0.08335;5.09383;0;0;0;0.61618;;;;;;;
lightCommercial;Petrol;N1-II;Euro 4;0.00053;-0.08335;5.09383;0;0;0;0.61618;;;;;;;
lightCommercial;Petrol;N1-II;Euro 5;0.00003;-0.0033;0.46892;2.97745;-0.00001;0.00228;0.1204;;;;;;;
lightCommercial;Petrol;N1-II;Euro 6 a/b/c;0.00003;-0.0033;0.46892;2.97745;-0.00001;0.00228;0.1204;;;;;;;
lightCommercial;Petrol;N1-II;Euro 6 a/b/c;0.00003;-0.0033;0.46892;2.97745;-0.00001;0.00228;0.1204;;;;;;;
lightCommercial;Petrol;N1-II;Euro 6 d-temp;0.00003;-0.0033;0.46892;2.97745;-0.00001;0.00228;0.1204;;;;;;;
lightCommercial;Petrol;N1-II;Euro 6 d-temp;0.00003;-0.0033;0.46892;2.97745;-0.00001;0.00228;0.1204;;;;;;;
lightCommercial;Petrol;N1-II;Euro 6 d-temp;0.00003;-0.0033;0.46892;2.97745;-0.00001;0.00228;0.1204;;;;;;;
lightCommercial;Petrol;N1-II;Euro 6 d;0.00003;-0.0033;0.46892;2.97745;-0.00001;0.00228;0.1204;;;;;;;
lightCommercial;Petrol;N1-II;Euro 6 d;0.00003;-0.0033;0.46892;2.97745;-0.00001;0.00228;0.1204;;;;;;;
lightCommercial;Petrol;N1-II;Euro 6 d;0.00003;-0.0033;0.46892;2.97745;-0.00001;0.00228;0.1204;;;;;;;
lightCommercial;Petrol;N1-III;Conventional;0.0047;-0.7455;45.45306;0;0;0;6.42906;;;;;;;
lightCommercial;Petrol;N1-III;Euro 1;0.00053;-0.08335;5.09383;0;0;0;0.61618;;;;;;;
lightCommercial;Petrol;N1-III;Euro 2;0.00053;-0.08335;5.09383;0;0;0;0.61618;;;;;;;
lightCommercial;Petrol;N1-III;Euro 3;0.00053;-0.08335;5.09383;0;0;0;0.61618;;;;;;;
lightCommercial;Petrol;N1-III;Euro 4;0.00053;-0.08335;5.09383;0;0;0;0.61618;;;;;;;
lightCommercial;Petrol;N1-III;Euro 5;0.00003;-0.0033;0.46892;2.97745;-0.00001;0.00228;0.1204;;;;;;;
lightCommercial;Petrol;N1-III;Euro 6 a/b/c;0.00003;-0.0033;0.46892;2.97745;-0.00001;0.00228;0.1204;;;;;;;
lightCommercial;Petrol;N1-III;Euro 6 a/b/c;0.00003;-0.0033;0.46892;2.97745;-0.00001;0.00228;0.1204;;;;;;;
lightCommercial;Petrol;N1-III;Euro 6 d-temp;0.00003;-0.0033;0.46892;2.97745;-0.00001;0.00228;0.1204;;;;;;;
lightCommercial;Petrol;N1-III;Euro 6 d-temp;0.00003;-0.0033;0.46892;2.97745;-0.00001;0.00228;0.1204;;;;;;;
lightCommercial;Petrol;N1-III;Euro 6 d-temp;0.00003;-0.0033;0.46892;2.97745;-0.00001;0.00228;0.1204;;;;;;;
lightCommercial;Petrol;N1-III;Euro 6 d;0.00003;-0.0033;0.46892;2.97745;-0.00001;0.00228;0.1204;;;;;;;
lightCommercial;Petrol;N1-III;Euro 6 d;0.00003;-0.0033;0.46892;2.97745;-0.00001;0.00228;0.1204;;;;;;;
lightCommercial;Petrol;N1-III;Euro 6 d;0.00003;-0.0033;0.46892;2.97745;-0.00001;0.00228;0.1204;;;;;;;
lightCommercial;Diesel;N1-I;Conventional;0.00914;-1.36078;77.369;0;0;0;15.29368;;;;;;;
lightCommercial;Diesel;N1-I;Euro 1;0.00104;-0.02063;15.91296;0;-0.00082;0.1734;2.57655;;;;;;;
lightCommercial;Diesel;N1-I;Euro 2;0.00183;-0.09028;19.72648;0;-0.00055;0.16176;3.24818;;;;;;;
lightCommercial;Diesel;N1-I;Euro 3;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
lightCommercial;Diesel;N1-I;Euro 4;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
lightCommercial;Diesel;N1-I;Euro 5;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
lightCommercial;Diesel;N1-I;Euro 5;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
lightCommercial;Diesel;N1-I;Euro 6 a/b/c;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
lightCommercial;Diesel;N1-I;Euro 6 a/b/c;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
lightCommercial;Diesel;N1-I;Euro 6 a/b/c;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
lightCommercial;Diesel;N1-I;Euro 6 d-temp;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
lightCommercial;Diesel;N1-I;Euro 6 d-temp;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
lightCommercial;Diesel;N1-I;Euro 6 d-temp;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
lightCommercial;Diesel;N1-I;Euro 6 d;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
lightCommercial;Diesel;N1-I;Euro 6 d;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
lightCommercial;Diesel;N1-I;Euro 6 d;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
lightCommercial;Diesel;N1-II;Conventional;0.00213;-0.2668;14.99218;0;0;0;2.35811;;;;;;;
lightCommercial;Diesel;N1-II;Euro 1;0.00265;-0.33558;18.40174;0;0;0;3.1364;;;;;;;
lightCommercial;Diesel;N1-II;Euro 2;0.00265;-0.33558;18.40174;0;0;0;3.1364;;;;;;;
lightCommercial;Diesel;N1-II;Euro 3;0.00265;-0.33558;18.40174;0;0;0;3.1364;;;;;;;
lightCommercial;Diesel;N1-II;Euro 4;0.00265;-0.33558;18.40174;0;0;0;3.1364;;;;;;;
lightCommercial;Diesel;N1-II;Euro 5;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-II;Euro 6 a/b/c;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-II;Euro 6 a/b/c;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-II;Euro 6 a/b/c;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-II;Euro 6 d-temp;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-II;Euro 6 d-temp;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-II;Euro 6 d-temp;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-II;Euro 6 d;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-II;Euro 6 d;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-II;Euro 6 d;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-III;Conventional;0.00213;-0.2668;14.99218;0;0;0;2.35811;;;;;;;
lightCommercial;Diesel;N1-III;Euro 1;0.00265;-0.33558;18.40174;0;0;0;3.1364;;;;;;;
lightCommercial;Diesel;N1-III;Euro 2;0.00265;-0.33558;18.40174;0;0;0;3.1364;;;;;;;
lightCommercial;Diesel;N1-III;Euro 3;0.00265;-0.33558;18.40174;0;0;0;3.1364;;;;;;;
lightCommercial;Diesel;N1-III;Euro 4;0.00265;-0.33558;18.40174;0;0;0;3.1364;;;;;;;
lightCommercial;Diesel;N1-III;Euro 5;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-III;Euro 6 a/b/c;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-III;Euro 6 a/b/c;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-III;Euro 6 a/b/c;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-III;Euro 6 d-temp;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-III;Euro 6 d-temp;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-III;Euro 6 d-temp;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-III;Euro 6 d;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-III;Euro 6 d;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-III;Euro 6 d;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
